iter	Passed	Remaining
0	1	1169
1	2	1146
2	3	1065
3	4	1006
4	4	988
5	5	950
6	6	936
7	7	917
8	8	899
9	8	882
10	9	868
11	10	860
12	11	848
13	11	842
14	12	837
15	13	832
16	14	826
17	14	817
18	15	817
19	16	821
20	17	820
21	18	812
22	19	812
23	19	811
24	20	810
25	21	807
26	22	804
27	23	801
28	23	796
29	24	793
30	25	793
31	26	789
32	26	788
33	27	786
34	28	785
35	29	783
36	30	784
37	31	785
38	31	784
39	32	784
40	33	783
41	34	783
42	35	784
43	36	782
44	36	779
45	37	777
46	38	774
47	38	772
48	39	769
49	40	770
50	41	770
51	42	770
52	43	769
53	43	767
54	44	765
55	45	762
56	46	762
57	47	768
58	48	766
59	48	764
60	49	762
61	50	760
62	51	758
63	51	756
64	52	755
65	53	754
66	54	754
67	55	754
68	55	755
69	56	755
70	57	754
71	58	752
72	59	751
73	59	749
74	60	748
75	61	748
76	62	750
77	63	749
78	64	746
79	64	744
80	65	743
81	66	743
82	66	738
83	67	737
84	68	737
85	69	735
86	70	736
87	70	735
88	71	733
89	72	731
90	73	729
91	73	728
92	74	727
93	75	727
94	76	727
95	77	726
96	77	724
97	78	723
98	79	721
99	80	720
100	80	720
101	81	719
102	82	718
103	83	719
104	84	719
105	85	718
106	86	718
107	86	717
108	87	716
109	88	716
110	89	716
111	90	716
112	91	716
113	92	716
114	93	716
115	93	716
116	94	714
117	95	713
118	96	713
119	97	717
120	98	716
121	99	715
122	100	715
123	101	713
124	101	712
125	102	711
126	103	709
127	104	708
128	104	707
129	105	707
130	106	708
131	107	707
132	108	705
133	109	704
134	109	703
135	110	702
136	111	701
137	112	700
138	113	700
139	113	699
140	114	698
141	115	697
142	116	695
143	116	695
144	117	693
145	118	692
146	119	691
147	120	692
148	121	693
149	122	692
150	122	691
151	123	689
152	124	688
153	125	687
154	125	685
155	126	684
156	127	683
157	127	681
158	128	680
159	129	679
160	129	676
161	130	675
162	131	674
163	132	673
164	132	672
165	133	671
166	134	671
167	135	671
168	136	670
169	137	669
170	137	668
171	138	667
